File, room, poi, comment
PHOTO_0354.jpg,aw1121,https://nav.fosdem.org/l/c:2:355.0:103.63/,near door
PHOTO_0355.jpg,aw1121,https://nav.fosdem.org/l/c:2:348.78:107.88/,
PHOTO_0356.jpg,aw1121,https://nav.fosdem.org/l/c:2:352.19:103.28/,
PHOTO_0357.jpg,aw-hall,https://nav.fosdem.org/l/c:2:363.38:104.16/,on stairstowards aw1125
PHOTO_0358.jpg,aw1125,https://nav.fosdem.org/l/c:2:367.92:105.54/,
PHOTO_0359.jpg,aw1125,https://nav.fosdem.org/l/c:2:371.97:107.12/,
PHOTO_0360.jpg,aw-hall,https://nav.fosdem.org/l/c:1:364.99:100.18/, near stairs
PHOTO_0361.jpg,aw-hall,https://nav.fosdem.org/l/c:1:369.54:101.19/,
PHOTO_0362.jpg,aw-hall,https://nav.fosdem.org/l/c:1:368.84:97.33/,
PHOTO_0363.jpg,aw-hall,https://nav.fosdem.org/l/c:1:369.7:88.82/,
PHOTO_0364.jpg,aw-hall,https://nav.fosdem.org/l/c:1:375.55:101.29/,entrance AW1126
PHOTO_0365.jpg,aw1126,https://nav.fosdem.org/l/c:1:375.96:105.52/,
PHOTO_0367.jpg,aw1126,https://nav.fosdem.org/l/c:1:374.76:105.03/,
PHOTO_0368.jpg,aw-hall,https://nav.fosdem.org/l/c:1:378.05:101.85/,AW-hall near backdoor
PHOTO_0369.jpg,aw-hall,https://nav.fosdem.org/l/c:1:382.91:100.87/,Aw-hall towards toilets
PHOTO_0370.jpg,aw-hall,https://nav.fosdem.org/l/c:1:386.23:100.54/,toilets
PHOTO_0371.jpg,,https://nav.fosdem.org/l/c:1:379.38:106.56/,outside backdoor AW
PHOTO_0372.jpg,,https://nav.fosdem.org/l/c:1:379.31:114.76/,outside backdoor AW
PHOTO_0374.jpg,,https://nav.fosdem.org/l/c:1:377.67:120.65/,outside backdoor AW
PHOTO_0375.jpg,,https://nav.fosdem.org/l/c:1:379.06:131.49/,between AW - U
PHOTO_0376.jpg,,https://nav.fosdem.org/l/c:1:377.38:161.95/,corner NA building next to UC
PHOTO_0377.jpg,,https://nav.fosdem.org/l/c:1:374.75:167.98/,in front of UC side entrance (next to NA building)
PHOTO_0378.jpg,,https://nav.fosdem.org/l/c:1:374.56:176.58/,UC entrance AW side
PHOTO_0379.jpg,,https://nav.fosdem.org/l/c:1:375.6:177.9/,UC catacombs near broken elevator
PHOTO_0380.jpg,,https://nav.fosdem.org/l/c:1:374.3:184.73/,UC stairs 12
PHOTO_0381.jpg,uc2-entrance,https://nav.fosdem.org/l/c:1:380.19:185.18/,UC2 entrance courtyard
PHOTO_0382.jpg,,https://nav.fosdem.org/l/c:2:380.66:177.24/,UC2 near broken elevator (not mapped)
PHOTO_0383.jpg,,https://nav.fosdem.org/l/c:2:382.73:188.75/,UC entrance courtyard
PHOTO_0384.jpg,,https://nav.fosdem.org/l/c:2:391.0:188.24/,UC courtyard next to ub2252a
PHOTO_0385.jpg,ub2252a,https://nav.fosdem.org/l/c:2:409.54:184.33/,
PHOTO_0386.jpg,ub2252a,https://nav.fosdem.org/l/c:2:394.32:184.92/,
PHOTO_0388.jpg,ub2252a,https://nav.fosdem.org/l/c:2:387.82:179.24/,
PHOTO_0389.jpg,ub2252a,https://nav.fosdem.org/l/c:2:385.61:179.24/,back of ub2252a - not mapped properly
PHOTO_0390.jpg,,https://nav.fosdem.org/l/c:1:438.47:190.16/,courtyard U
PHOTO_0391.jpg,,https://nav.fosdem.org/l/c:1:448.17:190.02/,courtyard U near entrance UB
PHOTO_0392.jpg,,https://nav.fosdem.org/l/c:2:453.5:185.66/,UB entrance
PHOTO_0393.jpg,ub-2-hall,https://nav.fosdem.org/l/c:2:453.13:178.06/,
PHOTO_0394.jpg,ub-2-hall,https://nav.fosdem.org/l/c:2:460.72:178.63/,
PHOTO_0395.jpg,ub-2-hall,https://nav.fosdem.org/l/c:2:463.25:178.97/,
PHOTO_0396.jpg,ub-2-hall,https://nav.fosdem.org/l/c:2:463.12:178.84/,
PHOTO_0397.jpg,ub-2-hall,https://nav.fosdem.org/l/c:2:477.08:184.52/,
PHOTO_0398.jpg,,,near door UB2.320
PHOTO_0399.jpg,ub-2-hall,https://nav.fosdem.org/l/c:2:451.28:177.33/,
PHOTO_0400.jpg,ub2_stairs,https://nav.fosdem.org/l/c:2:459.63:184.45/,
PHOTO_0401.jpg,ub2_stairs,https://nav.fosdem.org/l/c:3:452.92:184.24/,
PHOTO_0402.jpg,ub-3-hall,https://nav.fosdem.org/l/c:3:452.79:179.04/,
PHOTO_0403.jpg,ub-3-hall,https://nav.fosdem.org/l/c:3:458.82:177.34/,
PHOTO_0404.jpg,ub-3-stairs,https://nav.fosdem.org/l/c:3:458.76:184.09/,
PHOTO_0405.jpg,ub-3-stairs,https://nav.fosdem.org/l/c:3:453.19:183.49/,
PHOTO_0406.jpg,ub-4-hall,https://nav.fosdem.org/l/c:3:453.57:180.21/,
PHOTO_0407.jpg,ub4-corridor,https://nav.fosdem.org/l/c:4:463.88:183.74/,
PHOTO_0408.jpg,ub4-corridor,https://nav.fosdem.org/l/c:4:466.26:185.37/,
PHOTO_0409.jpg,ub4-corridor,https://nav.fosdem.org/l/c:4:482.54:185.43/, near entrance ub4132
PHOTO_0410.jpg,ub4132,https://nav.fosdem.org/l/c:4:480.81:183.15/,
PHOTO_0411.jpg,ub4132,https://nav.fosdem.org/l/c:4:487.1:182.78/,
PHOTO_0412.jpg,,https://nav.fosdem.org/l/c:4:491.66:185.18/,near entrance ub4130 (not used by FOSDEM)
PHOTO_0413.jpg,,https://nav.fosdem.org/l/c:4:496.96:185.61/,near entrance ub4131 (not used by FOSDEM)
PHOTO_0414.jpg,ub4136,https://nav.fosdem.org/l/c:4:471.24:183.15/,
PHOTO_0415.jpg,ub4136,https://nav.fosdem.org/l/c:4:477.66:183.15/,
PHOTO_0416.jpg,,,unclear ub
PHOTO_0417.jpg,,,unclear ub
PHOTO_0418.jpg,,,unclear ub
PHOTO_0419.jpg,,,unclear ub
PHOTO_0420.jpg,,,unclear ub
PHOTO_0421.jpg,ua-2-hall,https://nav.fosdem.org/l/c:2:487.65:216.24/,
PHOTO_0422.jpg,ua2114,https://nav.fosdem.org/l/c:2:490.05:220.6/,
PHOTO_0423.jpg,ua2114,https://nav.fosdem.org/l/c:2:499.08:204.13/,
PHOTO_0424.jpg,ua-2-hall,https://nav.fosdem.org/l/c:2:499.56:217.55/, at entrance ua2114 henriot
PHOTO_0425.jpg,ua2118-entrance,https://nav.fosdem.org/l/c:2:495.18:212.62/,
PHOTO_0426.jpg,ua2118,https://nav.fosdem.org/l/c:2:490.33:209.47/,
PHOTO_0439.jpg,ua2118,https://nav.fosdem.org/l/c:2:491.15:207.83/,
PHOTO_0440.jpg,ua2118,https://nav.fosdem.org/l/c:2:495.73:206.6/,
PHOTO_0441.jpg,ua2218,https://nav.fosdem.org/l/c:2:500.8:208.58/,
PHOTO_0442.jpg,ua2118-entrance,https://nav.fosdem.org/l/c:2:501.0:212.62/,
PHOTO_0443.jpg,,https://nav.fosdem.org/l/c:1:376.06:216.23/,U courtyard near UD
PHOTO_0444.jpg,,https://nav.fosdem.org/l/c:1:407.61:216.26/,U courtyard latest
PHOTO_0445.jpg,,https://nav.fosdem.org/l/c:1:430.97:215.66/, U courtyard
PHOTO_0446.jpg,,,
PHOTO_0447.jpg,,https://nav.fosdem.org/l/c:1:455.98:216.26/, U courtyard in front of UA
PHOTO_0448.jpg,,https://nav.fosdem.org/l/c:1:459.36:209.74/, U courtyard in front of UA
PHOTO_0449.jpg,k_infodesk,https://nav.fosdem.org/l/c:1:135.93:268.88/,
PHOTO_0450.jpg,k-level-1,https://nav.fosdem.org/l/c:1:140.24:264.63/,
PHOTO_0451.jpg,k1105,https://nav.fosdem.org/l/c:1:141.63:271.21/,
PHOTO_0452.jpg,k1105,https://nav.fosdem.org/l/c:1:144.05:275.24/,
PHOTO_0453.jpg,k1105,https://nav.fosdem.org/l/c:1:155.55:272.01/,
PHOTO_0454.jpg,k-level-1,https://nav.fosdem.org/l/c:1:120.79:270.74/,
PHOTO_0455.jpg,k-level-1,https://nav.fosdem.org/l/c:1:123.44:286.17/,
PHOTO_0456.jpg,k-level-1,https://nav.fosdem.org/l/c:1:132.65:288.46/,
